multiplier,actual_days,actual_sample_size,n_models,r2_median,r2_mean,r2_min,r2_max,icl_time_mean,icl_time_std,inference_time_mean,inference_time_std,optMod,n_repeats
1,1.0,288,10,0.501487094532511,0.5047318559753512,0.41886994787876664,0.550417620836761,0.10661969184875489,0.3153700715968743,0.450438117980957,1.0732049266406996,1,10
2,2.0,576,10,0.6412751183821548,0.6414644097245836,0.5678363943575171,0.6786873908946138,0.0014847993850708007,6.815778385554093e-05,0.753633451461792,1.9779466752280301,1,10
3,3.0,864,10,0.7267644574471805,0.7275977981576711,0.6899952743607867,0.749318414731674,0.0015258550643920898,5.736347544915601e-05,0.10142331123352051,0.0012167095997259593,1,10
4,4.0,1152,10,0.7578424673177286,0.7542325539740072,0.685417641039992,0.7849906214919165,0.0017597436904907226,8.914792044091606e-05,200.2413072347641,5.063312506290785,1,10
5,5.0,1440,10,0.7689281742730754,0.769142884002171,0.733522433802298,0.7789791705899407,0.0018200874328613281,6.925557014881373e-05,198.5150374174118,0.3217243591383638,1,10
6,6.0,1728,10,0.7768945099480011,0.7770523731326568,0.7519093231685502,0.7971116693561903,0.0018636703491210938,6.412545036116035e-05,198.7322815656662,0.2889174877941307,1,10
7,7.0,2016,10,0.7933853819271653,0.7935551930246811,0.7644220631554426,0.8063740382681932,0.0019390106201171875,7.204185756857232e-05,198.94808461666108,0.35397784643494934,1,10
8,8.0,2304,10,0.7929641384734087,0.7899068011795752,0.7357529606329164,0.8038754988235868,0.0019786834716796877,7.137288644560474e-05,199.37581589221955,0.30184206068013275,1,10
9,9.0,2592,10,0.7933143827990914,0.7935287934641438,0.7526500026789549,0.8111123364247138,0.0020226955413818358,7.674692209628102e-05,199.79420042037964,0.25717009551894426,1,10
10,10.0,2880,10,0.8003548390426827,0.7990760747567482,0.7698309811463427,0.8096264876511723,0.002121853828430176,9.873569695167469e-05,199.23170521259308,0.3229820993102916,1,10
11,11.0,3168,10,0.796473124821736,0.7970099294416999,0.7815773470426199,0.8085814591899215,0.0021205902099609374,6.588486813366968e-05,199.25018877983092,0.33576326074510415,1,10
12,12.0,3456,10,0.8052528431146186,0.8049371831835355,0.7819417538454014,0.8113789078444524,0.002163219451904297,0.00010154727300604732,199.29280486106873,0.3221900117558113,1,10
13,13.0,3744,10,0.8088288282647015,0.8086089374769238,0.7786486214190537,0.8155460606262681,0.0022401332855224608,8.965615197726315e-05,198.86825110912324,0.2436794686023752,1,10
14,14.0,4032,10,0.8044025611085468,0.8039663099999129,0.7728859396972332,0.8206545556028702,0.002236485481262207,6.897637390731491e-05,199.00423793792726,0.28490851830491337,1,10
15,15.0,4320,10,0.8054297903579268,0.8050014661758408,0.7803512745880582,0.8126965057501752,0.0023604393005371093,9.133175665925859e-05,199.01177370548248,0.3945287624595475,1,10
16,16.0,4608,10,0.8087461010857363,0.8089698605692324,0.783298984623855,0.8219472689223031,0.0024167537689208985,9.215568637511323e-05,199.20112771987914,0.3518827801095884,1,10
17,17.0,4896,10,0.8137205472744157,0.8137951801306891,0.7977227061704366,0.8204072921263492,0.002482151985168457,0.00014561085388872178,199.10617725849153,0.2776614037798817,1,10
18,18.0,5184,10,0.8246199864042619,0.8247910957237088,0.8064259544858443,0.8314858573859538,0.0025594472885131837,0.0001232969159194819,199.17293577194215,0.3619851775856931,1,10
