multiplier,actual_days,actual_sample_size,n_models,r2_median,r2_mean,r2_min,r2_max,icl_time_mean,icl_time_std,inference_time_mean,inference_time_std,optMod,n_repeats
1,1.0,288,10,0.6763042997568132,0.6763453138799547,0.6657431629861494,0.6817851277663951,0.175370192527771,0.08932439649462884,0.6132105350494385,0.1634014538801943,0,10
2,2.0,576,10,0.7164914025086173,0.7165354804670847,0.7105206037808087,0.7191206706054487,0.13463890552520752,0.004198490797463784,0.5765738010406494,0.0035239633012950845,0,10
3,3.0,864,10,0.8111857685777157,0.8109772728524394,0.8054602371965853,0.8148072760437328,0.14672224521636962,0.006018493079726479,0.6092852830886841,0.006082258284788116,0,10
4,4.0,1152,10,0.8254200739337719,0.8252544945422529,0.8229906209922496,0.8277330635711019,0.1538079261779785,0.004723005923540467,0.6433600902557373,0.02727849076215023,0,10
5,5.0,1440,10,0.8407951309298198,0.8408500232812336,0.8393535591971073,0.8420688239516653,0.15990374088287354,0.003595356620983767,0.6770046710968017,0.00789212474922942,0,10
6,6.0,1728,10,0.8345956734646865,0.8346157495515987,0.8334256096648249,0.8351963367020783,0.17085039615631104,0.002969850867171386,0.7083526611328125,0.004718360128542125,0,10
7,7.0,2016,10,0.8435326522198796,0.8435441806753248,0.8422835300055214,0.844553063542983,0.17712137699127198,0.004244207938367055,0.7448047637939453,0.007675751412392876,0,10
8,8.0,2304,10,0.8498571471503322,0.8498386609336884,0.8486120688909721,0.8507265540415196,0.18387234210968018,0.0036357945403998507,0.7794350385665894,0.012397918000230776,0,10
9,9.0,2592,10,0.8529794308775938,0.8530334784279674,0.8521314012387295,0.8536738326540567,0.20566251277923583,0.02812400688584932,0.8262216329574585,0.00940950116170639,0,10
10,10.0,2880,10,0.8521997421467205,0.8521971719936757,0.8516943913352466,0.8526078004576157,0.20290067195892333,0.005091117401278092,0.8704062223434448,0.006499854091946475,0,10
11,11.0,3168,10,0.8466028859738035,0.8466330135229476,0.8462621124718266,0.8471177184522856,0.21437206268310546,0.003277009519493292,0.9053258180618287,0.008600726491545002,0,10
12,12.0,3456,10,0.8490556776335025,0.8490250913185466,0.8480795175664608,0.849849082705062,0.22787461280822754,0.005279141653922522,0.9439014911651611,0.013622769589908481,0,10
13,13.0,3744,10,0.853635466836548,0.8536037827462291,0.8531384451859644,0.8541230090552965,0.23471620082855224,0.0035154240770158963,1.0001320600509644,0.012163630436430031,0,10
14,14.0,4032,10,0.8582492163679276,0.8582148527735418,0.8573122909380942,0.8587908906465229,0.24724512100219725,0.030826408859703367,1.0477243185043335,0.0114376478103179,0,10
15,15.0,4320,10,0.8595003853237848,0.8595613141616609,0.8591478127718699,0.8601084383103464,0.25309641361236573,0.005982940585469679,1.0890001058578491,0.013647893084929195,0,10
16,16.0,4608,10,0.8580787749913474,0.858070714377593,0.8575005700301288,0.8586202930714892,0.2610866785049438,0.00470051165102044,1.1282652378082276,0.011858303295989565,0,10
17,17.0,4896,10,0.8601014822417371,0.8600653111169688,0.8597817966599992,0.860336097917789,0.27715296745300294,0.007501131275922263,1.1985100030899047,0.012275672429389744,0,10
18,18.0,5184,10,0.8606371186394922,0.860678540845386,0.8602718095275408,0.8611151866207842,0.27983028888702394,0.005290645973251633,1.2379467010498046,0.008877661234864314,0,10
